fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
13.91793764,11.00082062,27.33505466,13.41711702,0.076,15.14793764,14.2,2.917117018,1.2,0.576820624,11.00164125
13.88412457,11.00115875,27.26709038,13.38296581,0.098,15.11412457,14.2,2.882965812,1.2,0.599158754,11.00231751
13.88915006,11.0011085,27.27719162,13.38804156,0.092,15.11915006,14.2,2.888041558,1.2,0.593108499,11.002217
13.72508719,11.00274913,26.94742526,13.22233807,0.075,14.95508719,14.2,2.722338066,1.2,0.577749128,11.00549826
13.01585984,11.0098414,25.52187828,12.50601844,0.076,14.24585984,14.2,2.006018437,1.2,0.585841402,11.0196828
13.72826092,11.00271739,26.95380445,13.22554353,0.075,14.95826092,14.2,2.72554353,1.2,0.577717391,11.00543478
13.29680353,11.00703196,26.0865751,12.78977157,0.069,14.52680353,14.2,2.289771567,1.2,0.576031965,11.01406393
13.23819431,11.00761806,25.96877056,12.73057625,0.065,14.46819431,14.2,2.230576252,1.2,0.572618057,11.01523611
13.87691652,11.00123083,27.25260221,13.37568569,0.073,15.10691652,14.2,2.875685685,1.2,0.574230835,11.00246167
13.04020368,11.00959796,25.57080939,12.53060571,0.071,14.27020368,14.2,2.030605714,1.2,0.580597963,11.01919593
2.266441355,1.007335586,4.025547124,1.759105769,0.097,3.496441355,7.7,1.259105769,5.7,0.604335586,1.014671173
13.79020387,11.00209796,27.07830978,13.28810591,0.071,15.02020387,14.2,2.788105911,1.2,0.573097961,11.00419592
2.209504149,1.007904959,3.91110334,1.701599191,0.089,3.439504149,7.7,1.201599191,5.7,0.596904959,1.015809917
13.10499967,11.00895,25.70104933,12.59604967,0.114,14.33499967,14.2,2.096049666,1.2,0.622950003,11.01790001
13.09703818,11.00902962,25.68504674,12.58800856,0.176,14.32703818,14.2,2.088008562,1.2,0.685029618,11.01805924
13.30721713,11.00692783,26.10750644,12.8002893,0.17,14.53721713,14.2,2.300289303,1.2,0.676927829,11.01385566
13.09531229,11.00904688,25.6815777,12.58626541,0.092,14.32531229,14.2,2.08626541,1.2,0.601046877,11.01809375
13.04109088,11.00958909,25.57259268,12.53150179,0.368,14.27109088,14.2,2.031501793,1.2,0.877589091,11.01917818
13.50340289,11.00496597,26.5018398,12.99843691,0.086,14.73340289,14.2,2.498436914,1.2,0.590965971,11.00993194
13.33779268,11.00662207,26.16896329,12.83117061,0.341,14.56779268,14.2,2.33117061,1.2,0.847622073,11.01324415
13.01133604,11.00988664,25.51278544,12.5014494,0.077,14.24133604,14.2,2.001449401,1.2,0.58688664,11.01977328
13.82393602,11.00176064,27.1461114,13.32217538,0.082,15.05393602,14.2,2.822175382,1.2,0.58376064,11.00352128
13.93948075,11.00060519,27.37835632,13.43887556,0.106,15.16948075,14.2,2.938875562,1.2,0.606605192,11.00121038
13.59150122,11.00408499,26.67891744,13.08741623,0.084,14.82150122,14.2,2.587416229,1.2,0.588084988,11.00816998
2.44411807,1.005558819,4.38267732,1.93855925,0.085,3.67411807,7.7,1.43855925,5.7,0.590558819,1.011117639
2.567278004,1.00432722,4.630228789,2.062950784,0.08,3.797278004,7.7,1.562950784,5.7,0.58432722,1.00865444
13.4934014,11.00506599,26.48173682,12.98833542,0.08,14.7234014,14.2,2.488335417,1.2,0.585065986,11.01013197
13.10586987,11.0089413,25.70279844,12.59692857,0.106,14.33586987,14.2,2.096928568,1.2,0.614941301,11.0178826
13.8893775,11.00110622,27.27764878,13.38827128,0.08,15.1193775,14.2,2.888271276,1.2,0.581106225,11.00221245
13.43314109,11.00566859,26.36061359,12.9274725,0.082,14.66314109,14.2,2.427472502,1.2,0.587668589,11.01133718
2.401304052,1.005986959,4.296621144,1.895317092,0.089,3.631304052,7.7,1.395317092,5.7,0.594986959,1.011973919
2.528685376,1.004713146,4.552657606,2.02397223,0.105,3.758685376,7.7,1.52397223,5.7,0.609713146,1.009426292
13.78752463,11.00212475,27.07292451,13.28539988,0.083,15.01752463,14.2,2.785399877,1.2,0.585124754,11.00424951
2.050489311,1.009495107,3.591483516,1.540994204,0.073,3.280489311,7.7,1.040994204,5.7,0.582495107,1.018990214
2.277194383,1.007228056,4.04716071,1.769966327,0.103,3.507194383,7.7,1.269966327,5.7,0.610228056,1.014456112
13.30935634,11.00690644,26.11180624,12.8024499,0.086,14.53935634,14.2,2.302449903,1.2,0.592906437,11.01381287
13.97956524,11.00020435,27.45892614,13.4793609,0.086,15.20956524,14.2,2.979360896,1.2,0.586204348,11.0004087
13.22963943,11.00770361,25.95157525,12.72193582,0.066,14.45963943,14.2,2.221935822,1.2,0.573703606,11.01540721
2.219909553,1.007800904,3.932018201,1.712108648,0.172,3.449909553,7.7,1.212108648,5.7,0.679800904,1.015601809
13.59519872,11.00404801,26.68634943,13.09115071,0.074,14.82519872,14.2,2.591150707,1.2,0.578048013,11.00809603
13.29305832,11.00706942,26.07904723,12.78598891,0.074,14.52305832,14.2,2.285988908,1.2,0.581069417,11.01413883
13.05037368,11.00949626,25.59125111,12.54087742,0.088,14.28037368,14.2,2.040877421,1.2,0.597496263,11.01899253
13.53625896,11.00463741,26.56788051,13.03162155,0.332,14.76625896,14.2,2.531621551,1.2,0.83663741,11.00927482
